year,country,health_expenses,education,gdp_per_capita,gini_index,greenhousepc,pop_density,precipitation,productivity_per_hour,remuneration_per_capita,unemployment,inflation,div_per_100_marriges_,0-14,15-24,25-49,50-64,65-79,80-more,Per capita CO₂ emissions (Global Carbon Project; Gapminder; UN) (tonnes per capita),20-24 years old (%),10-14 years old (%),All ages (%),70+ years old (%),30-34 years old (%),15-19 years old (%),25-29 years old (%),50-69 years old (%),Age-standardized (%),15-49 years old (%)
2001,Portugal,8.4,21.6,16961.2,37.0,8.0,112.4,131785,18.0,8167.2,3.8,4.4,32.3,1679191,1457162,3758734,1762362,1339923,365351,6.285,5.16190970001,2.5073970132,5.3644199421200005,6.82049967905,5.676126428200001,4.51517792287,5.409010079680001,6.49732442547,4.68043141602,5.64601764038
2001,Romania,0.0,20.6,5705.7,30.0,6.7,94.1,170000,6.4,2343.7,6.6,34.5,24,3952215,3496547,8031057,3621991,2609620,420541,4.48,2.39627971114,0.8799701321860001,2.77154223967,4.83630974145,2.5517136667,1.94764322232,2.4610683560599997,4.1448787982000015,2.35119901251,2.6141011083900003
2001,Slovakia,0.0,23.6,10738.3,0.0,9.7,109.7,41421,15.8,4210.3,19.4,7.2,41.3,1020420,914182,2003183,826978,510780,103325,8.068999999999999,2.48106741079,0.8615267039519999,2.87037784293,5.389622954330001,2.6257899196000003,1.9629245237000001,2.5461922724400003,4.4768523278200005,2.50561844322,2.7059838622900005
2001,Slovenia,0.0,23.0,16453.1,22.0,10.0,98.2,28645,21.0,8371.6,5.7,8.6,32.8,310064,286084,765025,345911,236437,48540,8.228,3.6439348077900005,1.0621587531299999,3.9581824897500004,6.742835502199999,3.5434703739699995,2.69459572893,3.56034826581,5.510450112030001,3.28100297397,3.6991501582699997
2001,Spain,0.0,21.5,19886.5,33.0,9.4,80.4,301786,26.7,9604.1,10.3,2.8,19,5948800,5748686,15756329,6492998,5348331,1555269,7.582000000000001,3.8104174858800004,1.8812852955900001,3.9754232013699995,4.9870183001,4.1021101965,3.2680594037599997,3.94500268497,4.77708673291,3.4484459558000005,4.09248256914
2001,Sweden,8.0,27.4,25722.1,24.0,7.8,20.1,369682,32.2,11879.8,4.7,2.7,58.8,1625537,1029998,3020056,1688894,1073089,458387,6.2589999999999995,5.64988628858,1.7783137373299998,5.12570927956,5.9422066866600005,5.87528057036,4.13769056997,5.70699909442,5.926615711899999,4.5551483719000005,5.87428613564
2001,United Kingdom,0.0,27.4,23880.6,35.0,12.1,237.4,266177,30.0,12148.0,4.7,1.2,54.8,11113240,7267564,21074515,10293531,6919662,2451163,9.636000000000001,4.982087922880001,1.7316623838700005,4.7089061474900005,5.42592661556,5.7377119612300005,3.7781470336300003,5.42531037104,5.5130469813300005,4.22204183155,5.4562038063000005
2002,Austria,0.0,20.3,26775.9,0.0,10.7,96.1,0,32.1,12702.5,4.8,1.7,54.5,1342531,970570,3075221,1443787,938579,311270,8.876,4.05228804222,1.36913347301,3.94152281869,4.77925339805,4.3901383025300005,3.0003032189599996,4.2228494365,4.59809071269,3.42517356508,4.3452738676400005
2002,Belgium,0.0,26.5,26178.5,0.0,14.3,337.7,33599,41.1,13410.9,6.9,1.5,75.7,1803972,1248258,3746155,1780009,1350703,403689,12.174000000000001,4.53400267325,1.79924460812,4.3353857501999995,4.842370535580001,4.90793333202,3.5099810276699994,4.70670427586,5.00777640479,3.85991490535,4.86408905175
2002,Bulgaria,0.0,18.8,6635.4,26.0,7.6,70.9,0,9.8,2306.0,18.1,5.8,34.9,1152177,1078296,2741558,1527675,1125653,211803,5.862,2.77744660713,0.933692782113,3.4338570685,6.19267786653,2.8675308832099997,2.18064271722,2.82483028207,4.69758115522,2.6886886065900004,2.93716172532
2002,Croatia,0.0,0.0,10874.8,0.0,6.5,0.0,70169,15.5,5330.0,15.1,2.5,19.7,710983,562229,1523320,791785,607158,109861,5.012,3.14412234635,1.03612221805,3.60372342954,6.55871982701,3.1254152173799996,2.44907593412,3.12987270639,5.03761678541,2.9427223049599998,3.23712338624
2002,Cyprus,0.0,22.3,20230.0,0.0,11.9,76.3,2841,22.7,8240.9,3.3,2.8,12.8,150754,110599,253284,111812,64523,18658,7.329,3.8382937984699996,1.7762640256,3.5983140454900004,4.4927008939399995,4.24289789916,3.2684928675700005,4.05987527749,4.45459504413,3.32519784114,4.09992817112
2002,Czech Republic,0.0,21.8,15620.7,0.0,14.2,129.4,71298,18.0,6180.0,7.0,1.4,60.2,1603501,1456416,3716159,2004805,1147439,268597,11.952,2.97396363072,0.980358063064,3.40682788811,5.8638899787200005,3.0163242714300003,2.3190203565300003,2.96534452167,4.634916613690001,2.79862188754,3.13675251776
2002,Denmark,0.0,24.1,26313.7,0.0,13.2,124.6,36500,34.7,13474.3,4.3,2.4,41.1,1009125,596837,1937558,1035945,579682,216786,10.445,3.772679713520001,1.3976982206200002,3.915253410580001,4.6767313453099995,4.41131806523,2.8623967464599995,4.09387954634,4.779929484619999,3.4417377868,4.37545727842
2002,Estonia,0.0,25.7,9953.9,35.0,12.4,31.7,24227,11.8,4406.6,10.0,3.6,69.6,229620,199970,486840,247155,177475,38290,11.014000000000001,4.11072777331,1.43911081657,5.436062850569999,10.1278432552,4.59118311052,3.2945158950700004,4.36968813379,7.87164890274,4.41139349443,4.653429093280001
2002,Finland,7.4,25.4,24533.3,26.0,15.0,15.4,179000,31.6,11462.7,10.4,2.0,49.4,929298,652606,1792339,1033388,607092,185876,12.475999999999999,6.8874079411,2.08265875773,5.83234742387,6.017875663300001,6.9653882248,4.806604329240001,6.883742670749999,6.681492122300002,5.2336772188300005,6.86215410727
2002,France,0.0,23.1,24560.2,27.0,8.9,97.1,535357,38.6,12649.2,8.7,1.9,41.5,11668192,8013608,21702559,10345447,7409675,2504583,6.837000000000001,4.998752194090001,1.98583621295,4.780859080330001,5.05791686673,5.566960247969999,3.8650559376199998,5.23576246168,5.4745737961000005,4.3523130611099985,5.51147246814
2002,Germany,10.1,20.4,25185.7,0.0,12.6,230.9,359000,36.6,13050.1,8.5,1.4,53.3,12517212,9454602,30735844,15528567,10947866,3304405,11.017999999999999,4.45350723398,1.8815944944799998,4.43113195069,5.230917224050001,4.80806469106,3.5468688225699996,4.62842631404,5.01462334534,3.84440824239,4.77515038604
2002,Greece,0.0,19.4,19422.4,0.0,11.7,82.5,0,22.8,6422.0,10.0,3.9,19.1,1701187,1500526,3947420,1831619,1512533,408739,9.362,4.98437066498,2.3809630301499998,4.9338818499,5.6701352174099995,5.4038033616600005,4.27848673698,5.19977244963,5.7716969874,4.30508342225,5.33658660873
2002,Hungary,0.0,22.5,12495.0,24.0,7.3,109.4,52452,15.0,5494.0,5.6,5.2,55.4,1646901,1414713,3656302,1885112,1251279,304301,5.818,2.8425278897400004,0.9341289874500001,3.59637150725,6.21261519253,3.11090937163,2.1909627488999996,2.9320198153099994,5.07173367027,2.9148890777700003,3.27846564249
2002,Ireland,0.0,0.0,30239.9,0.0,17.4,55.9,0,35.2,11102.7,4.2,4.7,12.6,830162,640017,1436696,587632,336040,101402,11.575999999999999,5.25840310141,2.0131953297300003,4.68779161738,5.29421143895,5.6071675965,4.0520799299300005,5.41682304189,5.680988620369999,4.346650383919999,5.48125214116
2002,Italy,0.0,18.9,24597.1,0.0,9.8,189.1,283729,32.2,9235.7,9.2,2.6,15.5,8110071,6259868,21275525,10658998,8196984,2557563,8.21,3.9286160204400002,1.90338249702,4.06241495692,5.43452167585,4.22492088068,3.38164759522,4.0772688495099985,4.582426197159999,3.4359209777700004,4.19615352525
2002,Latvia,0.0,24.3,8648.1,0.0,4.8,35.9,37841,10.8,3301.4,13.8,2.0,61.1,378610,344938,810219,415346,299672,61389,3.22,3.4538041593,1.13893078289,4.5923453084900006,8.154460371819999,4.12346283863,2.6270959848700004,3.82731589762,6.674137569349999,3.74170156847,4.035766475269999
2002,Lithuania,0.0,25.7,9012.5,0.0,6.0,52.9,40737,12.3,3444.6,13.0,0.3,65.5,640425,502558,1232954,560834,419760,86537,3.6639999999999997,4.4189711880199996,1.2315639914,5.160297850819999,8.99847308041,4.83747992114,3.19444612786,4.59971477051,7.676486795020001,4.38120714762,4.88413137783
2002,Luxembourg,0.0,19.4,50472.6,0.0,24.5,171.7,0,49.6,25134.3,2.6,2.1,54.0,84204,50986,176183,72398,48821,13585,22.401,4.37264127177,1.7039381189399998,4.27382380779,5.20581905609,4.93135872883,3.3852207300100003,4.68910326701,5.11485087321,3.80240305549,4.8154082649
2002,Malta,0.0,21.9,16819.3,0.0,6.8,1250.4,144,20.1,7457.9,6.9,2.6,-,75167,58682,138238,73542,39989,10352,6.504,3.9497464491400005,1.8185535570500002,3.76589600326,4.56691608494,4.2771607136,3.3464049580400004,4.12562649899,4.5174286509599995,3.39601557258,4.18408097635
2002,Netherlands,0.0,22.3,29582.9,27.0,13.5,387.8,33280,39.5,14820.5,2.6,3.9,39.5,3004168,1922242,6112797,2900137,1671797,537789,10.932,4.82461807431,1.72234998152,4.566088422,5.22553983814,5.3070278364800005,3.4808234564100005,5.05564786783,5.30963663236,4.06909186078,5.22673134856
2002,Poland,0.0,26.2,10117.5,0.0,9.9,122.3,210525,13.5,4065.1,19.9,1.9,23.7,6921744,6445661,13832588,6181100,4017729,831543,7.944,2.54485973932,0.752129970276,2.67906929078,4.27995228419,2.56421707065,1.8707676413999998,2.5205701866099997,3.86610773937,2.3086722418,2.66621033314
2002,Portugal,8.6,21.2,17491.6,0.0,8.3,113.1,52427,18.7,8391.6,4.5,3.7,49.1,1681127,1410948,3807140,1784592,1358460,377365,6.626,5.14410581314,2.5620677614800003,5.42103009753,6.86961414229,5.6965594483,4.53495804167,5.4162278753800015,6.570257901719999,4.71645027171,5.6889973864700005
2002,Romania,0.0,21.0,6165.4,30.0,6.7,91.6,155000,7.5,2430.7,8.1,22.5,24.6,3830831,3372354,7864099,3615024,2613202,434988,4.511,2.39620363771,0.8810040946619999,2.78862354638,4.833240958869999,2.5437154028799998,1.95028939723,2.4623860112,4.13646703568,2.34951580301,2.60888263616
2002,Slovakia,0.0,23.5,11417.2,0.0,9.3,109.7,41225,17.2,4468.0,18.7,3.5,43.7,990963,904749,2010946,855599,504060,110597,7.729,2.47155181036,0.861455849991,2.88418713166,5.3774617953799995,2.61302612969,1.95620483718,2.53526232073,4.45407876298,2.49749687277,2.6942930242500003
